C3.Heightxcmx,C4.Weightxkgx,D1.TSV,D5.Clothing Insulation (clo),D6.Metabolic Rate (met),F4.PMV,F5.PPD,Indoor Air Temperature,Indoor Relative Humidity,Indoor Air Velocity,Summer Season,Transition Season,Winter Season,Cold zone,Hot summer and cold winter zone,Hot summer and warm winter zone ,Mild zone,Severe cold zone,Female,Male
170.0,55.0,1.0,0.74,1.0,-2.48,93.1,16.599999999999998,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,70.0,-2.0,0.94,0.9,-2.17,83.82,18.066666666666666,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
177.0,80.0,-1.0,1.53,1.0,-0.48,9.94,18.03333333333333,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
162.0,68.0,0.0,0.98,1.0,-1.49,50.79,17.73333333333333,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
174.0,55.0,0.0,0.71,1.0,-2.18,84.45,18.066666666666666,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,52.0,-1.0,0.89,1.0,-1.89,71.95,17.099999999999998,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,75.0,1.0,1.31,1.0,-0.98,25.22,17.366666666666667,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
183.0,70.0,0.0,0.99,0.9,-2.17,84.05,17.666666666666664,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
166.0,65.0,-1.0,0.97,0.9,-2.17,83.78,17.833333333333332,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,52.0,-1.0,1.55,1.0,-0.5,10.19,17.733333333333334,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
172.0,66.0,0.0,1.27,1.0,-0.67,14.41,18.73333333333333,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,75.0,1.0,1.16,1.2,-0.47,9.74,17.833333333333332,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
161.0,48.0,1.0,0.6,1.0,-1.01,26.54,22.5,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
164.0,55.0,0.0,0.79,1.0,-0.88,21.27,21.400000000000002,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,65.0,-1.0,1.2,1.2,1.11,31.28,26.666666666666668,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
162.0,50.0,0.0,0.79,1.0,-0.19,5.79,23.2,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,62.0,0.0,1.0,1.1,0.32,7.18,23.166666666666668,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,69.0,1.0,1.11,1.0,-1.13,31.93,17.900000000000002,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173.0,61.0,1.0,0.92,1.0,-2.13,82.5,15.933333333333332,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,46.0,1.0,1.04,0.9,-2.58,95.1,15.5,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,86.0,-1.0,0.7,1.0,-3.4,99.91,14.133333333333333,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,62.0,0.0,1.44,1.0,-1.32,41.24,14.733333333333334,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
161.0,53.0,-1.0,1.25,1.0,-1.49,50.82,15.433333333333332,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,75.0,-2.0,1.78,1.0,-0.42,8.64,16.466666666666665,39.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
180.0,74.0,1.0,1.37,0.9,-1.48,50.1,16.7,38.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
168.0,65.0,-1.0,1.44,1.0,-1.01,26.79,15.9,39.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,78.0,-3.0,1.07,1.0,-1.65,59.29,16.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,60.0,-1.0,1.0,1.0,-1.95,74.7,15.6,39.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,55.0,1.0,1.17,1.0,-0.28,6.68,21.233333333333334,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,90.0,2.0,0.97,0.9,-1.06,28.66,21.8,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,56.0,0.0,0.86,1.0,-0.85,20.5,21.03333333333333,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
183.0,71.0,2.0,1.47,1.0,0.07,5.09,21.03333333333333,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
155.0,50.0,0.0,0.78,1.0,-1.07,29.49,20.900000000000002,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,85.0,2.0,1.05,0.9,-1.02,27.1,21.099999999999998,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
167.0,60.0,1.0,1.34,1.2,1.17,33.84,26.166666666666668,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,64.0,3.0,0.82,0.9,0.11,5.28,26.166666666666668,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
179.0,69.0,1.0,0.87,0.9,0.18,5.67,26.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
165.0,60.0,1.0,0.89,1.0,0.58,12.04,26.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
155.0,52.0,2.0,0.79,1.0,0.5,10.35,26.433333333333334,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
173.0,65.0,3.0,1.55,1.2,1.36,43.51,26.666666666666668,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,62.0,3.0,1.12,0.9,0.48,9.93,26.03333333333333,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
160.0,50.0,2.0,1.06,1.0,0.53,10.96,25.166666666666668,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,65.0,2.0,1.09,1.2,0.98,25.49,26.166666666666668,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,60.0,1.0,0.91,1.2,0.84,19.93,26.166666666666668,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,53.0,0.0,0.84,1.0,0.6,12.51,26.399999999999995,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178.0,88.0,0.0,1.11,1.0,0.77,17.5,25.966666666666665,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,62.0,1.0,1.13,1.0,0.44,9.1,24.633333333333336,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
163.0,52.0,2.0,0.81,1.0,0.02,5.01,24.633333333333336,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
158.0,48.0,0.0,0.72,1.0,-1.22,36.37,20.866666666666667,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,78.0,1.0,1.27,1.0,0.24,6.23,21.566666666666666,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
176.0,65.0,1.0,1.57,1.2,0.72,16.07,21.5,34.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
171.0,65.0,2.0,1.08,0.9,-0.7,15.3,21.5,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,95.0,1.0,1.54,1.2,0.63,13.48,21.433333333333337,36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
159.0,50.0,2.0,1.11,1.2,0.45,9.25,22.133333333333336,34.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
179.0,85.0,0.0,0.67,1.0,-0.86,20.82,22.933333333333337,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
176.0,77.0,0.0,0.91,1.0,-0.21,5.88,23.233333333333334,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
180.0,75.0,-1.0,0.8,1.0,-0.38,8.11,23.399999999999995,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
181.0,75.0,0.0,1.22,1.0,0.2,5.85,23.066666666666666,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163.0,54.0,0.0,0.8,1.0,-0.4,8.31,23.2,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
183.0,60.0,-1.0,0.88,1.0,-0.27,6.53,23.233333333333334,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,62.0,-1.0,1.41,1.0,0.44,9.1,23.5,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
178.0,79.0,0.0,0.89,1.0,-0.26,6.4,23.433333333333334,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
153.0,48.0,0.0,0.73,1.0,-0.44,9.1,23.7,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,85.0,0.0,1.28,1.0,0.35,7.53,23.566666666666666,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163.0,53.0,1.0,0.91,1.0,-0.14,5.43,23.53333333333333,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
165.0,75.0,2.0,1.23,1.0,0.52,10.71,24.433333333333334,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
166.0,66.0,2.0,1.16,1.0,0.47,9.66,24.46666666666667,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164.0,60.0,1.0,0.9,1.0,0.16,5.54,24.46666666666667,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
180.0,60.0,3.0,1.0,1.0,0.34,7.47,24.8,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
172.0,75.0,2.0,0.85,1.0,0.13,5.37,24.633333333333336,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175.0,75.0,3.0,1.21,1.0,0.57,11.78,24.733333333333334,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
181.0,75.0,1.0,0.92,0.9,0.1,5.23,25.433333333333334,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173.0,65.0,0.0,0.73,1.2,0.54,11.04,25.433333333333334,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,75.0,0.0,0.8,0.9,0.1,5.22,26.066666666666663,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163.0,55.0,3.0,0.8,1.0,0.47,9.72,25.7,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,73.0,0.0,0.96,1.0,0.38,8.07,23.900000000000002,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,68.0,1.0,1.52,1.0,0.7,15.38,24.2,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173.0,83.0,2.0,0.93,1.0,0.12,5.29,24.3,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,70.0,2.0,0.91,1.0,0.13,5.33,24.433333333333337,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,75.0,1.0,1.11,1.0,0.41,8.46,24.666666666666668,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,67.0,2.0,1.7,1.0,0.91,22.77,24.566666666666666,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170.0,60.0,0.0,0.83,1.2,0.42,8.69,24.666666666666668,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173.0,80.0,1.0,0.91,1.0,0.13,5.33,24.333333333333332,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
174.0,65.0,0.0,0.84,1.0,0.11,5.24,24.76666666666667,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
