month,day,hour,minute,room_height,room_length,room_width,person_age,person_height,person_weight,person_cloth,person_activity,indoor_operative_temperature,indoor_mean_radiant_temp,indoor_asymmetry_temp,indoor_humidity,indoor_air_velocity,ashrae_predicted_mean_vote,ashrae_predicted_percentage_of_dissatisfied,label_thermal_sensation_vote,label_thermal_comfort_vote,label_thermal_acceptability_vote,person_gender_Female,person_gender_Male,season_Summer Season,season_Transition Season,season_Winter Season,climate_zone_Cold zone,climate_zone_Hot summer and cold winter zone,climate_zone_Severe cold zone,building_type _Educational,building_type _Office,building_type _Residential,building_function_Bedroom,building_function_Classroom,building_function_Living room,building_function_Office,building_operation_mode_Air conditioning heating,building_operation_mode_Ceiling capillary heating,building_operation_mode_Cold radiation ceiling cooling,building_operation_mode_Convection cooling,building_operation_mode_Convection heating,building_operation_mode_Naturally Ventilated,building_operation_mode_Others,building_operation_mode_Radiant floor cooling,building_operation_mode_Radiant floor heating,building_operation_mode_Radiator heating
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.5423728813559322,3.0,9.0,6.6,24.0,175,70,1.09,1.2,23.8,24.1,3.4,26,0,0.47,9.55,6,2,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.6271186440677966,3.0,9.0,6.6,35.5,178,81,1.8,1,23.7,24.2,2.34,27,0,0.77,17.54,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.6949152542372882,3.0,9.0,6.6,35.5,163,65,1.14,1,23.7,24.3,2.22,27,0,0.15,5.47,5,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.7796610169491526,3.0,9.0,6.6,35.5,158,45,1.42,1,23.7,24.2,2.33,27,0,0.45,9.25,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.9661016949152542,3.0,9.0,6.6,45.5,156,50,1.92,1,23.4,24,2.29,28,0,0.78,18.04,4,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4583333333333333,0.2033898305084746,3.0,9.0,6.6,35.5,173,65,1.3,1,24.6,25.3,2.6,25,0,0.54,11.17,5,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4583333333333333,0.3559322033898305,3.0,9.0,6.6,35.5,165,72,0.9,1,24.4,25.2,2.39,25,0,0.01,5,4,1,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4583333333333333,0.4576271186440678,3.0,9.0,6.6,55.5,177,86,1.67,1,24.1,24.9,3.1,26,0,0.74,16.69,6,1,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4583333333333333,0.576271186440678,3.0,9.0,6.6,35.5,178,78,1.64,1,23.9,24.8,3.19,28,0,0.69,14.98,5,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4583333333333333,0.6610169491525424,3.0,9.0,6.6,35.5,170,75,1.4,1,24.6,25.3,3.13,25,0,0.63,13.34,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4583333333333333,0.8135593220338984,3.0,9.0,6.6,35.5,182,85,1.24,1,24.7,25.3,3.23,25,0,0.49,10.05,5,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.5833333333333334,0.847457627118644,2.7,9.8,5.5,35.5,172,60,1.01,1,21.9,22.6,4.11,27,0,-0.51,10.44,5,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.5833333333333334,0.9830508474576272,2.7,9.8,5.5,35.5,175,75,1.33,1,21.8,22.3,4,28,0,-0.06,5.09,3,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.625,0.1864406779661017,2.7,9.8,5.5,24.0,170,63,1,1,22.2,22.7,4,27,0,-0.44,9.12,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.625,0.3050847457627119,2.7,9.8,5.5,24.0,160,52,0.97,1,22.3,22.9,4,26,0,-0.46,9.54,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.625,0.6271186440677966,2.7,9.8,5.5,35.5,174,65,1.03,1,21.9,22.7,4.69,27,0,-0.48,9.89,3,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.625,0.8135593220338984,2.7,9.8,5.5,35.5,170,65,0.89,1.2,22.1,22.7,4.94,28,0,-0.16,5.52,3,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.625,0.9322033898305084,2.7,9.8,5.5,24.0,178,75,1.36,1,22,22.7,4.8,28,0,0.02,5.01,2,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.6666666666666666,0.0,2.7,9.8,5.5,35.5,160,51,1.27,1,22.4,22.9,4.49,28,0,0,5,5,1,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.6666666666666666,0.1864406779661017,2.7,12.0,5.4,35.5,175,65,1.01,1,21.1,22.2,3.55,30,0,-0.72,16.08,3,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.6666666666666666,0.3898305084745763,2.7,12.0,5.4,24.0,176,67,0.83,1,20.4,21.4,3.53,31,0,-1.3,40.48,4,1,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.6666666666666666,0.4745762711864407,2.7,12.0,5.4,35.5,170,95,0.95,1,20.2,21.2,3.72,30,0,-1.06,28.78,3,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.6666666666666666,0.5423728813559322,2.7,12.0,5.4,35.5,175,70,1.58,1,19.8,20.6,3.66,33,0,-0.17,5.57,1,2,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.6666666666666666,0.7627118644067796,2.7,12.0,5.4,35.5,183,91,1.09,1,21,21.8,5.59,31,0,-0.59,12.3,3,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
